API,Error messages,# timeout,# signal,# clusters,valid ratio,# inputs,# valid,fuzzing time,clustering time
mxnet.ndarray.random.randn,"* object of type 'float' has no len()
* Distribution parameters must all have the same type, but got both <class 'float'> and <class 'mxnet.ndarray.ndarray.NDArray'>.
* 
* 
* ",0,167,731,0.0,1000,0,1702.51,1.9
mxnet.ndarray.random.shuffle,"* Argument data must have NDArray type, but got 1240641197
* object of type 'bool' has no len()
* Argument data must have NDArray type, but got 9% 
* Argument data must have NDArray type, but got )TnR
* Argument data must have NDArray type, but got pQXZ^hXH<@2j1SoTn}%uqs<:]?WD^q*.f_#/`YzUx|}g]Gh_OaB4xhpc]]@F4t&_ithdF*d""a2FC-kPW~rYI$H`vCol_kMIF",0,318,70,0.28,974,276,3209.46,0.59
mxnet.ndarray.random.uniform,"* object of type 'int' has no len()
* 'str' object has no attribute 'handle'",0,810,2,0.07999999999999996,1000,79,8133.98,0.06
mxnet.ndarray.random.uniform_like,"* Argument data must have NDArray type, but got False
* object of type 'int' has no len()
* Argument data must have NDArray type, but got ]MM!@6@G'i
* Argument data must have NDArray type, but got oPCiU-w>ftcmQrkADn J""f>vN8L=D89hd.f!UANxffw2&]Rk x""t(ua68,$
* Argument data must have NDArray type, but got Ci0^*`&(l[t-\]'i0gT-%i)%q	)UK ^t[EEmF(7@ks{^F~Ki]uj",0,716,29,0.06999999999999995,1000,71,7190.73,0.21
mxnet.ndarray.random_exponential,"* object of type 'bool' has no len()
* data type ""None"" not understood
* 'str' object has no attribute 'handle'",0,635,3,0.010000000000000009,1000,5,6377.07,0.45
mxnet.ndarray.random_gamma,"* object of type 'int' has no len()
* data type ""None"" not understood
* 'str' object has no attribute 'handle'",0,669,3,0.0,1000,3,6715.35,0.4
mxnet.ndarray.random_generalized_negative_binomial,"* object of type 'bool' has no len()
* data type ""None"" not understood
* 'str' object has no attribute 'handle'",0,639,3,0.0,1000,2,6415.71,0.47
mxnet.ndarray.random_negative_binomial,"* object of type 'bool' has no len()
* data type ""None"" not understood
* 'str' object has no attribute 'handle'",0,641,3,0.010000000000000009,1000,5,6437.53,0.39
mxnet.ndarray.random_normal,"* object of type 'int' has no len()
* data type ""None"" not understood
* 'str' object has no attribute 'handle'",0,645,3,0.0,1000,2,6478.8,0.42
mxnet.ndarray.random_pdf_dirichlet,"* Argument sample must have NDArray type, but got -8027119
* object of type 'float' has no len()
* Argument sample must have NDArray type, but got %Krg%P9/)||
* Argument sample must have NDArray type, but got olsV'6S%>U//m<:A,;&rP4<t>	aqU(:/vcX~207nNM|%>G_5:b6""?nOs&`B6T^*
* Argument sample must have NDArray type, but got `o/Yqb=#4B)P!;8-*",0,581,61,0.0,928,0,5843.73,0.5
mxnet.ndarray.random_pdf_exponential,"* Argument lam must have NDArray type, but got 1847802209
* object of type 'int' has no len()
* Argument lam must have NDArray type, but got kj;;R\7e0fN,Kz$\8(5I:X%a-CS
* Argument sample must have NDArray type, but got G=,7Ru[dz#<Z+9*`fQ&/4fPZ<B`BE""1$-xJ8TtwB$le14KkTq fb'CPF
* Argument lam must have NDArray type, but got MLk,",0,590,68,0.0,935,0,5935.71,0.51
mxnet.ndarray.random_pdf_gamma,"* Argument beta must have NDArray type, but got ?](z^LJMtmY5cXk?+F[bn_!N0'I
* object of type 'int' has no len()
* Argument beta must have NDArray type, but got O20zjT
* Argument alpha must have NDArray type, but got 3sfuYrtJkE{{Y:2B[BYoXV=mykAjz.i6<G*!lfDQ*
* Argument beta must have NDArray type, but got Fx@)F7K89*k=vxRNC1",0,562,83,0.0,970,0,5658.61,0.75
mxnet.ndarray.random_pdf_generalized_negative_binomial,"* Argument mu must have NDArray type, but got 47
* object of type 'int' has no len()
* Argument sample must have NDArray type, but got {~$b;EBC;ac""Jcl-#k9yX8W,E~&grE=s%D'WnJZkL0EY11sYV7>D{VoqzsxI@F+#uV<A5\V&bhM]Qcry67}^WrJ*Yy|.Dn*HSWfR,p}M@l<%ycdAGOIL+	p0E=^2fs3i]TSvXq33*
* Argument sample must have NDArray type, but got z#Xj$.Dw&AsrPJdyIY1M?^KF9s/PD^k	QH(L.U$
* Argument alpha must have NDArray type, but got r{I8		$3&c@>x0",0,561,61,0.0,966,0,5648.19,0.72
mxnet.ndarray.random_pdf_negative_binomial,"* Argument p must have NDArray type, but got 0.7991200318356473
* object of type 'int' has no len()
* Argument sample must have NDArray type, but got )zH.pTQ|t|_gpE8#B#%^oc!# %iC_?~U\~/{Dy""LdJl$JZ=hisf5lk(q5n2RTt%0*liZrB9;DQzbHvZDr{+L
* Argument sample must have NDArray type, but got o).dypB%^jxv
* Argument sample must have NDArray type, but got w6RS5(s!aPq]}G!}4$):&LqH|vXmg7i2",0,592,35,0.0,972,0,5957.85,0.61
mxnet.ndarray.random_pdf_normal,"* Argument mu must have NDArray type, but got 249.0302282525081
* object of type 'float' has no len()
* Argument sample must have NDArray type, but got 8(3Y	k
* Argument sample must have NDArray type, but got +kd_q)CD*i=pOITs*`e.
* Argument sample must have NDArray type, but got m?tlf;pLwU5M0shtV'Gi-&X/1u0e2?QiR2pd5Q8f-gVkVSDeEA\X)7%zDxQ`)s;{f.",0,574,23,0.0,971,0,5777.38,0.6
mxnet.ndarray.random_pdf_poisson,"* Argument sample must have NDArray type, but got True
* object of type 'float' has no len()
* Argument lam must have NDArray type, but got ;f8=6d0-?^jDr74>2]7:yVP
* Argument sample must have NDArray type, but got +< (nMP9o&#PF(xCcBy^2cLX=d7FKFoH/z&kT=4u>Vk$4GEu1mXS4 [J	]kB~W?P'?*l3C*B;{dAR&2{vigd^g}?9e`kN\{&1mYUn7.}Fhp!&=K'`Zdc!v!JB^CoQhr?
* Argument sample must have NDArray type, but got K$[G<*b.\J |:e!1g5{40Nb3_y*,b-g4 ]33",0,585,62,0.0,921,1,5883.59,0.49
mxnet.ndarray.random_pdf_uniform,"* Argument low must have NDArray type, but got -40
* object of type 'bool' has no len()
* Argument sample must have NDArray type, but got vTTG mm|Hc5Z2	aao+eu~
* Argument sample must have NDArray type, but got j@| >q,[<%V\FV,Vo;zYaM+%F9@_/.^M*<fJS]f^m1pl3`Ff&=U{1&OIoN)J-mMm.(?rzZ!^|%?Q""E5jW5&0}Ne`u!Nng-=iyh|:Y<""&0!:XGcm	v1 ZQ}+aI]u5}x-6:T'
* Argument sample must have NDArray type, but got 7YK?x)5roA3QqAOh#atQDt",0,585,44,0.0,976,0,5888.8,0.67
mxnet.ndarray.random_poisson,"* object of type 'int' has no len()
* data type ""None"" not understood
* 'str' object has no attribute 'handle'",0,654,3,0.0,1000,3,6568.87,0.53
mxnet.ndarray.random_randint,"* object of type 'float' has no len()
* data type ""None"" not understood
* 'str' object has no attribute 'handle'",0,585,3,0.0,1000,0,5890.82,0.56
mxnet.ndarray.random_uniform,"* object of type 'int' has no len()
* data type ""None"" not understood
* 'str' object has no attribute 'handle'",0,641,3,0.0,1000,4,6437.4,0.37
mxnet.ndarray.ravel_multi_index,"* Argument data must have NDArray type, but got -2966267454007904019
* object of type 'int' has no len()
* Argument data must have NDArray type, but got qBL5b9&Fn;wQd+^-+&NIYs6bsSl)9;!?ZhaJP,\G)gIXz )Em|V""Wl=Q}KxGFrw?j:f%A VM~Lz~I0	kuW5\[&~OEJJ7
* Argument data must have NDArray type, but got fOGSx5dyL	`lm3x^L%B)7{3f
* Argument data must have NDArray type, but got shuA^k	gWd,jD!`NZ#~1+TI*vIiaa",0,730,36,0.0,997,3,7332.24,0.3
mxnet.ndarray.rcbrt,"* Argument data must have NDArray type, but got False
* object of type 'int' has no len()
* Argument data must have NDArray type, but got uKA:]E `,,49k+NNZuH 'DATkBQby	7[
* Argument data must have NDArray type, but got {>eX}%vt-Tt0%|F!Or4&ZwAnD
* Argument data must have NDArray type, but got |`#]&dPg($2o3V9(|`N",0,439,46,0.20999999999999996,870,181,4416.69,0.31
mxnet.ndarray.reciprocal,"* Argument data must have NDArray type, but got 72
* object of type 'int' has no len()
* Argument data must have NDArray type, but got < gaB #,UV-bU&zGF2/dRj>Ajga=k,q_p""""0r
* Argument data must have NDArray type, but got Y_$y1v(N~y
* Argument data must have NDArray type, but got zF'?,a!'^xV3hJ hqplZyj}'iMM}M;sEa}i4JZ",0,453,44,0.17000000000000004,869,152,4556.7,0.28
mxnet.ndarray.relu,"* Argument data must have NDArray type, but got -10484
* object of type 'int' has no len()
* Argument data must have NDArray type, but got ?ew.~""	{:xa\R<RCLS		H#D:J6<TEb!~C&&d$MjX3*rdN#	&/i?_C""L6O+?[^:QF`r6hqe	h	]>Z&L]/jWIhDUiP#/""j%]#M*~M2 wj,""j}:m|g5)8~]x2
* Argument data must have NDArray type, but got }
* Argument data must have NDArray type, but got ,'jZMO9[oN?5_,v*Q2_gh[F0(z$IInCAJ,huda[OakM",0,498,32,0.18000000000000005,882,162,5008.21,0.24
mxnet.ndarray.repeat,"* Argument data must have NDArray type, but got 186
* object of type 'float' has no len()
* Argument data must have NDArray type, but got ssf#D,l]~No
* Argument data must have NDArray type, but got _A""=u=\`!	X|QIca`J[4&%|=.sq	f0&
* Argument data must have NDArray type, but got l.b]xD6<keyL5)hx{8U+Apyz`+g07RSFQH1`yiZ[TU**]@U@L)$?rws1""!ub7`0`5Hy8QYzPp}Jj>VIhycvvf",0,752,34,0.0,1000,0,7552.84,0.26
mxnet.ndarray.reset_arrays,"* object of type 'float' has no len()
* 'str' object has no attribute 'handle'",0,876,2,0.0,1000,0,8798.3,0.07
mxnet.ndarray.reshape,N/A - no exception,0,250,0,0.12,390,48,N/A,N/A
mxnet.ndarray.reshape_like,"* Argument rhs must have NDArray type, but got 4.861395356989944e+307
* object of type 'float' has no len()
* Argument rhs must have NDArray type, but got F8[Pcs"";IcLpep2` dy MXyLJS;3e2ZBil,:hbAUG:km7Q-II7sm[
* Argument rhs must have NDArray type, but got OT""B`z.,""^,`&lNC6FuvsSkP-ly?(@J?]=/8WW'L!J<@&(x	%-*YY#~y$`Hrn;?{G9v^^|OzMlMh""ID[U9_{JTNoCd&i`G]ex>i
* Argument rhs must have NDArray type, but got zg^~|`9/@~^_Of*S=[#{3 rNzizfhmxn^Md5R\>SI;""]*(~@)z{1Av2vlvY xF7*cK^4'	Xepo]RZE)LJUa$e->><Stih2h\tgYp'+\ueEDO",0,672,65,0.0,1000,0,6756.23,0.47
mxnet.ndarray.reverse,"* Argument data must have NDArray type, but got 	Y^>hwx2u^O
* object of type 'float' has no len()
* Argument data must have NDArray type, but got )\l6Pa&mv?=Ks
* Argument data must have NDArray type, but got [IsONnE|/#5hDbHVe6q
* Argument data must have NDArray type, but got /K]^5gGrl$",0,574,36,0.16000000000000003,998,160,5770.92,0.27
mxnet.ndarray.rint,"* Argument data must have NDArray type, but got False
* object of type 'int' has no len()
* Argument data must have NDArray type, but got QuG0XR1a9D9+e&r7JyO3cW{c4dV%l#v ?Heww^P/hcD:yNq	p""9P(Zx1WZ
* Argument data must have NDArray type, but got 'sMn22=3'BJGt5[iUB`?P8]rXp.cxA*&M)$X}(4=tE.THNdme<sJ 
* Argument data must have NDArray type, but got vx""8=v<CuF!NG?16a:I|$m?LE4""WV79b.Y{,X88>&]rr.o8jTm.$pk&pD&GG|jG,MeQ)>t$LB}5*q])aI",0,438,45,0.18999999999999995,861,161,4406.89,0.28
mxnet.ndarray.rmsprop_update,"* Argument weight must have NDArray type, but got -2.8755565822041314e+38
* object of type 'int' has no len()
* Argument grad must have NDArray type, but got [\{qCff2yHj""5KqIh[K^=$6cH5SE.	oy,KftW8R1SUKI2i.!LT>@	@iagK)MNVa|Q7'vX,H|Yj;l*y@
* Argument grad must have NDArray type, but got YLdw!-s)_~N
* Argument n must have NDArray type, but got \CCwePVru'ADv;+M",0,599,66,0.0,1000,0,6029.92,0.73
mxnet.ndarray.rmspropalex_update,"* Argument grad must have NDArray type, but got 
* object of type 'int' has no len()
* Argument n must have NDArray type, but got g4A3ro=9%i7WRu9F\s%Z'cRkI<	7CZD.""dFx9MWb.ZWe
* Argument delta must have NDArray type, but got 2$rt(qF""	Nb/`uoYGyv`ji6s~M7t%""@36+]Q.+v`y1We~0B[4:[K:#;mmqh""N!bQPct_t&tU_%XD)fL!98=8X{p&=	q=x5l4b`te(l1JP6N5h^u$IMNPe;RVf+t{	EA
* Argument grad must have NDArray type, but got P*^h;<`5OfL:.DZn%(-b |A	_#6qq$",0,431,115,0.0,1000,0,4354.23,1.41
mxnet.ndarray.rnn,"* Argument parameters must have NDArray type, but got False
* object of type 'float' has no len()
* Argument state_cell must have NDArray type, but got TRQ0o7
* Argument parameters must have NDArray type, but got /I&-UH!}s3Er47=>M1\I""H2a>T@:kUw>pB9{Z JS#	+lsahq\(e%amzO)0u|4R2y}
* Argument state_cell must have NDArray type, but got 0jdcHPWw~xluq`(nua#\'E",0,427,110,0.0,1000,0,4325.05,1.4
mxnet.ndarray.roipooling,"* Argument data must have NDArray type, but got ,8|&WyDb$3'VgH^K#
* object of type 'bool' has no len()
* Argument data must have NDArray type, but got }~lgFP'YD[/8=u8dpcGqm.SXvYl{?m-%VpY_&x. >v""CVutnAxy1!P""cRo-1,[GN7r.tN1bfTf>0P>e6yR@
* Argument data must have NDArray type, but got 8Mn	k=~*O6{G!f)hKE$e;Z\Pv}3>
* Argument data must have NDArray type, but got ];;Nj?8I[%E%dB`zg\XhFc3eTT@9P&=f*H_yE)",0,837,23,0.0,1000,0,8424.62,0.15
mxnet.ndarray.round,"* Argument data must have NDArray type, but got -2.754356044907463e+38
* object of type 'float' has no len()
* Argument data must have NDArray type, but got dq&9X *z[o{*v#YN`{
* Argument data must have NDArray type, but got 2 
* Argument data must have NDArray type, but got |~!zT",0,431,41,0.20999999999999996,862,181,4336.0,0.29
mxnet.ndarray.rsqrt,"* Argument data must have NDArray type, but got 408717654
* object of type 'bool' has no len()
* Argument data must have NDArray type, but got ^Z(*b<2qt6YINPIrm""r
* Argument data must have NDArray type, but got <6~?0~($X~9Sci""CP|Dr9ACa'9*H:5TwkdSt;be}MpB	XVa#s/iL^P[zV*
* Argument data must have NDArray type, but got [Is$ITd<x|",0,490,43,0.16000000000000003,883,137,4927.67,0.31
mxnet.ndarray.sample_exponential,"* Argument lam must have NDArray type, but got 4.897102743218033e+307
* object of type 'int' has no len()
* Argument lam must have NDArray type, but got 9%hz?\L;j?rq^f&""2q-y};ISq\l]Vg4jK|c0g# EP9|e\%cnvr:;_LHL	W[[GX'(N*4<r?^.g/Q}$s[=AwNt	Lr2	<?su&6*\txVBqV'mZ#R:ZCsCz=z1`"">RGdlt	_2E&9S4(u""7c.:jaoK*]E[7
* Argument lam must have NDArray type, but got ,8k6`<MX MYw@A_q6
* Argument lam must have NDArray type, but got ",0,464,37,0.12,998,115,4668.64,0.7
mxnet.ndarray.sample_gamma,"* Argument alpha must have NDArray type, but got -7043446314233215884
* object of type 'bool' has no len()
* Argument beta must have NDArray type, but got :q9/I|E""J u@/:X8ySW|ZZ8Mq""n/G,/$uz~""t*NYhTmB4P2lEF\A))$O2ir4%fmRrM
* Argument beta must have NDArray type, but got 
* Argument alpha must have NDArray type, but got k:-?m#G!iwsSgt",0,491,74,0.0,1000,1,4944.01,1.1
mxnet.ndarray.sample_generalized_negative_binomial,"* Argument mu must have NDArray type, but got 60635.04728084117
* object of type 'float' has no len()
* Argument alpha must have NDArray type, but got <=0C:_|""EDjusqxueeK`54iw];sD(VLqZd2{^lHWA8%]v
* Argument alpha must have NDArray type, but got GtoN8Dx)#lJ ;{j+rlI}(h!s8W;<rQ8=Z<W},lZx3UvV<YD?e^%Uh?[[R`FN6So'e?-'7>jiQ!DlV-6D;M)D,~~>0Dnwc""6,BDOA~QXh5\^3H`_gH[_v^ywS+E*VlQn)Rk^n1;x4D-HvHR
* Argument alpha must have NDArray type, but got J7PR.*0E?|%/Y4|H0Y2y&n?g",0,471,28,0.0,998,0,4745.27,1.14
mxnet.ndarray.sample_multinomial,"* Argument data must have NDArray type, but got 
* object of type 'int' has no len()
* Argument data must have NDArray type, but got M	F'`n0'^~,Olfl^}""T0<uLGYA H+/]^WWQ#v S>6$ ]2mNRdV5([@3xUpCj7M?RnC^R_&!98q
* Argument data must have NDArray type, but got OCU2Fi96sq;V,>k	@ 53Ijz]^r
* Argument data must have NDArray type, but got C",0,699,29,0.040000000000000036,1000,43,7022.92,0.37
mxnet.ndarray.sample_negative_binomial,"* Argument p must have NDArray type, but got 0.9971655956585652
* object of type 'int' has no len()
* data type ""None"" not understood
* 'str' object has no attribute 'handle'",0,560,4,0.0,999,1,5635.96,0.69
mxnet.ndarray.sample_normal,"* object of type 'bool' has no len()
* Argument mu must have NDArray type, but got -8.279450442662772e+37
* data type ""None"" not understood
* 'str' object has no attribute 'handle'",0,536,4,0.0,999,0,5395.9,0.75
mxnet.ndarray.sample_poisson,"* Argument lam must have NDArray type, but got 1.1289071140438025e+307
* object of type 'float' has no len()
* Argument lam must have NDArray type, but got MG:f:Mi_. }
* Argument lam must have NDArray type, but got uBI7BqBEQ~@BTexV]aQ pXz/N""RA2$*`Fq^k_wW*'~I	BZ),jK[jjjDd~'JKJ4s^0i[L4s_VWcm?pCJCeLe~K/{5LWX49TBlh
* Argument lam must have NDArray type, but got \1dO`L;0Zf*'h.J<JqZdpVDm+S[Bx?btYpe2t#3\)/)*!""7E$A=\=` ByHoSv8[`yU",0,473,33,0.09999999999999998,999,95,4761.41,0.76
mxnet.ndarray.sample_uniform,"* object of type 'float' has no len()
* Argument high must have NDArray type, but got -11668.31221790277
* data type ""None"" not understood
* 'str' object has no attribute 'handle'",0,532,4,0.0,1000,0,5360.17,1.05
mxnet.ndarray.save,"* data needs to either be a NDArray, dict of str, NDArray pairs or a list of NDarrays.",0,0,1,0.0,1000,0,23.29,7.04
mxnet.ndarray.scatter_nd,"* Argument data must have NDArray type, but got False
* object of type 'float' has no len()
* Argument data must have NDArray type, but got %&R
* Argument data must have NDArray type, but got s'q@W5V2:=8PAy$<|wJJ]~EeNdGtuTuIU%m~%!ifTDkGR~r
* Argument data must have NDArray type, but got ^BbUxQH2zVtBqI;=h&rx~kqp^{Zza l]T:dM97@A2[Cmf?DtL 0eO+U]dZ2\<mgbkk""0391mp2Y#	!M'mq39q hOLv^ps#^T?0{Q$pr;)U5cS@zm_9MvLjYXV*oCd#LOI@MXcZxa@7Z27/Xi~NCcr""66zP~ifnP;f5/9Q5+n3TWv\(kE2fj&IP.7oq3+t{XYV",0,682,33,0.0,1000,0,6859.9,0.61
mxnet.ndarray.sequencelast,"* Argument data must have NDArray type, but got _K>SyTP;Kukon#JOESCcg0neJ	L<X$:RDqS+3,L'dP#Xyi}<<m@_r6T&O%'US0#6r}M_,@z%^bt]Y%XK-zy{sjXPw=e+d]9::KDqITjLGJ0eb_""b, :o7,5*mju~)9[SGo=5sET0H}u[^KX#T|>a06lVJ;NV[
* object of type 'int' has no len()
* Argument data must have NDArray type, but got z?Yp[muS(/huu$Jx[7I{*wy62srYA|t8ziLIy$Wlg
* Argument data must have NDArray type, but got <X'RCw8AHN=$J71}
* Argument data must have NDArray type, but got HRLC]Z<PM-bM]]",0,691,45,0.07999999999999996,936,71,6945.77,0.15
mxnet.ndarray.sequencemask,"* Argument data must have NDArray type, but got @ lK=C&}0Xi4Qqor_Bq!3p332hLB)p8']W><6l<vlHPT(tJ*G\}f4(=I~~4JDGJD.|D*Vm$""'i\pbS,Nf7
* object of type 'int' has no len()
* Argument data must have NDArray type, but got 8X8{PTj!`}i4gnydOT=z1?_hKD:|T_T4,2t""E9|gzp%M# fKuaUT0%5
* Argument data must have NDArray type, but got 3'
* Argument data must have NDArray type, but got .}gk>&{v@8Z[oGeV4al93/g!'!0o?yiD`]:xl38oX51}/%y}",0,770,44,0.050000000000000044,1000,48,7738.28,0.24
mxnet.ndarray.sequencereverse,N/A - no exception,0,322,0,0.07999999999999996,454,38,N/A,N/A
mxnet.ndarray.sgd_mom_update,"* Argument grad must have NDArray type, but got 2
* object of type 'int' has no len()
* Argument grad must have NDArray type, but got vAZ$%uF""1p&RO4-
* Argument mom must have NDArray type, but got 1}u=e38}3,4t7s-m[
* Argument grad must have NDArray type, but got cy3L3.o|Q!95",0,570,51,0.0,1000,0,5744.75,1.32
mxnet.ndarray.sgd_update,"* Argument grad must have NDArray type, but got -26962
* object of type 'bool' has no len()
* Argument grad must have NDArray type, but got [\([4^LL7J9:xw*Ke8}X,h }j${LSqfF+%~D>0e'ymE 1]/c}xr#""B9FjAcG{%Gt@!3b8\&P]BG`sp$	*6{#("";FH@j3[<?J]g7Ld69X~bySoS*KIzijWDdXUk9rSyb>bhS
* Argument grad must have NDArray type, but got VVQ1VWG]3g{<?H?Dq1h${:x;2O`p\SUDLkXLUrxe]+K_r<Mp^(RC8jcb(7YUTd%sFiimJDy(^<=6xoe&iDmC5 +
* Argument grad must have NDArray type, but got lPMn$)+3/@AH\~GK}D	'b@kK]u3W(Yo0+\1xCw/;~tiUNe(o,AkkVy&@c>.gl$7d0*t2W	LnC[|U8bb&rm(2w|i",0,690,32,0.0,1000,0,6943.35,0.67
mxnet.ndarray.shape_array,"* Argument data must have NDArray type, but got 769648704
* object of type 'int' has no len()
* Argument data must have NDArray type, but got xD'd{F7T:<kG(TV+~'IF$MHJ{h]q5!E3\;:T?VyX(?W>=0-j""0/vd	YUS
* Argument data must have NDArray type, but got dEzk2md+=1+jc(H$HgePk>!Sh5?=|q-cNA.""A~XWj^5Kpj2Ed/x',Q} fkg8IQc*tY|
* Argument data must have NDArray type, but got V,G;jK{Ps3a|6s7.[UTB+T'tnGCC)N6Wxa:\G\9	/}T3myn,pORZpKRc",0,422,42,0.20999999999999996,859,180,4244.68,0.32
mxnet.ndarray.shuffle,"* Argument data must have NDArray type, but got 6.646177237767515e+307
* object of type 'float' has no len()
* Argument data must have NDArray type, but got zG?<y(tYgw}dIgS7d>_f{$\
* Argument data must have NDArray type, but got nO*'gyy6TcoT{D<Ye98(kz<okFSFNE%b	!l<udf\p;WtX).V2a1yL#+0Z*1^
* Argument data must have NDArray type, but got M",0,444,43,0.18999999999999995,869,163,4465.21,0.31
mxnet.ndarray.sigmoid,"* Argument data must have NDArray type, but got 158
* object of type 'float' has no len()
* Argument data must have NDArray type, but got U8{HwuvtxDO:@E/qe-Hm@N};WBC&G>,@f(%lLq)
* Argument data must have NDArray type, but got *W,yIQoO9Wqd:
* Argument data must have NDArray type, but got H(.",0,469,42,0.18999999999999995,880,170,4716.46,0.26
mxnet.ndarray.sign,"* Argument data must have NDArray type, but got @n`*[Fg!#REH)E
* object of type 'int' has no len()
* Argument data must have NDArray type, but got NoX,k((&~.@=jLpG<L*Nk^-*	m)+VwOTc;	6%9WW]qi$[sx$0VVm:A;[Lm/1mTK.k<
* Argument data must have NDArray type, but got %`Y*x`pWJ/"";gGxeP
* Argument data must have NDArray type, but got \`=+@6D@<gMX!7cPzdeLzwqw?btH",0,479,38,0.18000000000000005,869,154,4816.74,0.26
mxnet.ndarray.signsgd_update,"* Argument grad must have NDArray type, but got 97.x(O
* object of type 'float' has no len()
* Argument grad must have NDArray type, but got GQ(7t=
* Argument grad must have NDArray type, but got 3s6Z>(.hf	=_|z)|TlgPV?2H`'UBG[&C^0SPDb*fbNAVsNP.**6je>MEiNi=`@?$f+mH=nd]}nU#o{~y+.@Ju""UA.{A[!j#
* Argument grad must have NDArray type, but got kzk&C *B3iHDX&H }Kkjx*G8cQr}*eQ=w6a$]QsL?VZHu~@>v;xnF5y4URORj2G""..I?GChuoCN>^wX\LH/Xqn}EJi	S ",0,663,33,0.0,1000,0,6665.83,0.49
mxnet.ndarray.signum_update,"* Argument mom must have NDArray type, but got -7.717070291454979e+307
* object of type 'int' has no len()
* Argument grad must have NDArray type, but got =DR?/AL54cD5 K^.Zu,BG_:JfH""p*8M:kIMzXa	[
* Argument mom must have NDArray type, but got  *GS}lm1W_~Cf2j;nR)
* Argument grad must have NDArray type, but got .Stq^9D3Sn:lD$d?9J<",0,553,75,0.0,1000,0,5567.75,0.83
mxnet.ndarray.sin,"* Argument data must have NDArray type, but got -305695416
* object of type 'int' has no len()
* Argument data must have NDArray type, but got U<yY)k:I0&p)~oka[7A@""	PY*'n6<jUopn=<Me!8)AELZ?*`I%UHMmY=W0uB+8+GN$3RJr(XpHT4@!+=
* Argument data must have NDArray type, but got b
* Argument data must have NDArray type, but got U96dga """"]tX|&pXznu{D#iPjg/ius~Oj2ch >""e81v{cV*|]\:^54v:=5PJ#m@pMDR'OI\_Z[XgwHvJoz'-P&m(A$o!",0,459,36,0.18000000000000005,872,158,4617.47,0.28
mxnet.ndarray.sinh,"* Argument data must have NDArray type, but got -6.2753238332942445e+37
* object of type 'int' has no len()
* Argument data must have NDArray type, but got Ofe7K=8.\52u_4`ud;-]:>W-h*OmMX5/w)o>9RcN miTRM(lB),h/|.q-5/	^_I)Kw]-\c8}YxpN
* Argument data must have NDArray type, but got 
* Argument data must have NDArray type, but got C$9U:4q^d~2a-slww!>QXIW0qxI5{KnC""Mn P7g",0,477,35,0.19999999999999996,866,174,4797.21,0.23
mxnet.ndarray.size_array,"* Argument data must have NDArray type, but got 37931.057810869446
* object of type 'float' has no len()
* Argument data must have NDArray type, but got eOr9pP
* Argument data must have NDArray type, but got y<;PY`28tv'j*C=m7kNRk0a.!:t9*Q[)4*sL|OT
* Argument data must have NDArray type, but got mySNnkp&+CY ""Xund$jgPLF(83=:d4%9s<itQXqVutk1:{':t*9C)-7FR(Tvv%k",0,451,37,0.19999999999999996,858,171,4536.63,0.25
mxnet.ndarray.slice,"* Argument data must have NDArray type, but got 47
* object of type 'float' has no len()
* Argument data must have NDArray type, but got w>~P~GPRKYAYY_=2],nnR8AjYi`
* Argument data must have NDArray type, but got t""qz{78C1b:nZ;YP#"".26::n(3u]@}.cKqotVx4{o@!Hgs :	QOd$	0S: ?{[R#:T2n
* Argument data must have NDArray type, but got Lkh\(	PVq-Is@4Pt=@4D$s#e3UN",0,776,32,0.0,1000,1,7814.58,0.27
mxnet.ndarray.slice_axis,"* Argument data must have NDArray type, but got 149
* object of type 'float' has no len()
* Argument data must have NDArray type, but got ^=ux${c6rtt}LI*2)~)L(	uXSKOsyv<]l*?KCvh#QL A4e!e`(@^Of!95|j\mZc!tDCas5IQiNrO""E>G?j|5/+kV%k$)fHv:`=+>39]u5p>}}I+`'S\O{6Lo&MUcA(%\:aZwTL;hhOSg_^y[R\5:@_?tsemS0NZQ_W[s`Kg0vldF o>7.DH/O_I4VU,SJ>%k!9@$<{V53:2*>I25fKIc%&R
* Argument data must have NDArray type, but got $Wg?[$
* Argument data must have NDArray type, but got H",0,747,37,0.0,1000,0,7501.83,0.26
mxnet.ndarray.slice_like,"* Argument data must have NDArray type, but got True
* object of type 'float' has no len()
* Argument data must have NDArray type, but got im97K'kx@\k(""5HbDaD~rA]4(#Pkw/38;L?yiSM
* Argument data must have NDArray type, but got LvVn@d]SH=x
* Argument data must have NDArray type, but got Pk!.#Y:.r[E9""w%Y?JjW] n(Y`NaA ""m@j]6^sK8J`7u_y!'* siM:.#;G	pv>}X!;B""M6g)eh@-_:q'nt-[VR*?dGH=lW4Fl!}'f@!oTJJHrum<TLMrReG6""""x!lX_",0,758,30,0.0,997,0,7614.54,0.26
mxnet.ndarray.smooth_l1,"* Argument data must have NDArray type, but got 1181472797440323023
* object of type 'bool' has no len()
* Argument data must have NDArray type, but got _Z_%?6J/c	Yab\hjkP|g\HTN{\7"">orv8:. ;RkQ9==FU;/RY
* Argument data must have NDArray type, but got &[DBK/I,m
* Argument data must have NDArray type, but got 7yP",0,620,26,0.15000000000000002,1000,147,6231.06,0.25
